IsRaceOn,TimestampMS,EngineMaxRpm,EngineIdleRpm,CurrentEngineRpm,AccelerationX,AccelerationY,AccelerationZ,VelocityX,VelocityY,VelocityZ,AngularVelocityX,AngularVelocityY,AngularVelocityZ,Yaw,Pitch,Roll,NormalizedSuspensionTravelFrontLeft,NormalizedSuspensionTravelFrontRight,NormalizedSuspensionTravelRearLeft,NormalizedSuspensionTravelRearRight,TireSlipRatioFrontLeft,TireSlipRatioFrontRight,TireSlipRatioRearLeft,TireSlipRatioRearRight,WheelRotationSpeedFrontLeft,WheelRotationSpeedFrontRight,WheelRotationSpeedRearLeft,WheelRotationSpeedRearRight,WheelOnRumbleStripFrontLeft,WheelOnRumbleStripFrontRight,WheelOnRumbleStripRearLeft,WheelOnRumbleStripRearRight,WheelInPuddleDepthFrontLeft,WheelInPuddleDepthFrontRight,WheelInPuddleDepthRearLeft,WheelInPuddleDepthRearRight,SurfaceRumbleFrontLeft,SurfaceRumbleFrontRight,SurfaceRumbleRearLeft,SurfaceRumbleRearRight,TireSlipAngleFrontLeft,TireSlipAngleFrontRight,TireSlipAngleRearLeft,TireSlipAngleRearRight,TireCombinedSlipFrontLeft,TireCombinedSlipFrontRight,TireCombinedSlipRearLeft,TireCombinedSlipRearRight,SuspensionTravelMetersFrontLeft,SuspensionTravelMetersFrontRight,SuspensionTravelMetersRearLeft,SuspensionTravelMetersRearRight,CarOrdinal,CarClass,CarPerformanceIndex,DrivetrainType,NumCylinders,PositionX,PositionY,PositionZ,Speed,Power,Torque,TireTempFrontLeft,TireTempFrontRight,TireTempRearLeft,TireTempRearRight,Boost,Fuel,DistanceTraveled,BestLap,LastLap,CurrentLap,CurrentRaceTime,LapNumber,RacePosition,Accel,Brake,Clutch,HandBrake,Gear,Steer,NormalizedDrivingLine,NormalizedAIBrakeDifference
1,248890,7999.995,799.9995,3150.1697,0.0068752766,-0.004927896,6.3842826,-0.0002577901,-0.0032621787,0.8021917,-0.061108164,-0.004372877,0.0039869696,-0.9173667,-0.0006537745,0.014327266,0.3363691,0.34141892,0.43146485,0.44098642,-0.025647081,-0.03555587,3.0928311,1.742523,2.808647,2.5620787,6.971758,3.5403235,0,0,0,0,0,0,0,0,0,0,0,0,0.03295847,0.019606413,-0.03594749,-0.03172814,0.04176163,0.04060334,3.09304,1.7428118,-0.0033946708,-0.0029876083,0.0039939955,0.0047661588,1562,5,760,1,10,176.59077,-8.5228615,-134.8635,0.8021984,90939.01,275.12302,119.55036,119.551186,119.996086,119.996086,0,1,-10.236028,0,0,2.807152,2.807152,0,1,122,0,0,0,1,0,62,0
1,248906,7999.995,799.9995,3107.986,-0.0098416805,0.017681409,7.4816008,-0.0019480586,-0.00271289,0.97603714,-0.063529894,0.00086266425,0.0028213486,-0.9174175,-0.0017068373,0.014374699,0.32627347,0.3310355,0.44356275,0.4546156,-0.028577471,-0.064766146,1.4589146,2.0662405,3.3671563,3.111935,6.7892675,7.945635,0,0,0,0,0,0,0,0,0,0,0,0,0.015936567,-0.017723495,-0.0033365232,0.011618136,0.032720726,0.06714742,1.4589186,2.0662732,-0.004208468,-0.0038246065,0.004975088,0.00587143,1562,5,760,1,10,176.57878,-8.522891,-134.85435,0.97604275,89724.16,275.0103,119.549416,119.54952,120.4444,120.4444,0,1,-10.221136,0,0,2.823838,2.823838,0,1,122,0,0,0,1,0,62,0
1,248921,7999.995,799.9995,3059.2183,0.011050701,0.037602104,8.222,-0.0017515421,-0.00097177643,1.146933,-0.0609513,-0.0010102199,0.004663257,-0.9174455,-0.0027558878,0.014435259,0.31575605,0.31973094,0.45756558,0.4700213,-0.030103385,-0.07943569,3.6770718,1.3129704,3.8908288,3.6409817,9.67944,4.113943,0,0,0,0,0,0,0,0,0,0,0,0,0.018941,-0.017463591,-0.022898352,-0.00745867,0.03556649,0.08133268,3.677143,1.3129916,-0.0050562695,-0.0047358572,0.0061106607,0.007120773,1562,5,760,1,10,176.56447,-8.522879,-134.84341,1.1469347,88294.91,274.84866,119.54909,119.55102,120.52391,120.52391,0,1,-10.203191,0,0,2.8405485,2.8405485,0,1,122,0,0,0,1,0,62,0
1,248937,7999.995,799.9995,3005.1116,-0.015401363,0.051874027,8.635878,-0.0025678873,-0.0005513085,1.3080149,-0.055664685,0.00033026043,0.004226258,-0.9174771,-0.0037262577,0.014514413,0.3050603,0.30768794,0.4675954,0.48052678,-0.031358108,-0.05869865,1.8280897,2.7299666,4.3842816,4.123771,8.819648,10.498076,0,0,0,0,0,0,0,0,0,0,0,0,0.022630723,-0.013950295,-0.0074409842,0.008484728,0.038671445,0.06033359,1.8281049,2.7299798,-0.005918443,-0.0057066306,0.0069240406,0.007972725,1562,5,760,1,10,176.54796,-8.522823,-134.83083,1.3080175,85614.69,271.2216,119.54846,119.55234,121.09453,121.09453,0,1,-10.18219,0,0,2.8572516,2.8572516,0,1,121,0,0,0,1,0,62,0
1,248953,7999.995,799.9995,2948.6084,-0.016942978,0.07689832,8.801855,-0.0021712184,0.0020983284,1.460124,-0.046731085,-0.0020650374,0.006646091,-0.91751075,-0.004573296,0.014601271,0.29484805,0.29552084,0.47905532,0.49449852,-0.028487997,-0.06259087,3.6822267,1.7429876,4.8163424,4.589922,11.143251,6.4677453,0,0,0,0,0,0,0,0,0,0,0,0,0.028747495,-0.00809437,-0.029671255,-0.014749814,0.04047202,0.06311209,3.682346,1.7430501,-0.006741643,-0.00668741,0.007853396,0.009105779,1562,5,760,1,10,176.5294,-8.522708,-134.81668,1.4601271,83952.43,271.01407,119.547806,119.55276,121.24306,121.24306,0,1,-10.158898,0,0,2.873939,2.873939,0,1,121,0,0,0,1,0,62,0
1,248984,7999.995,799.9995,2889.5989,-0.008852005,0.089986615,8.777241,-0.0022164583,0.0024292506,1.6039736,-0.038352914,-0.00038434486,0.0042979065,-0.917558,-0.0052727773,0.014702204,0.28541452,0.28400943,0.48671234,0.49938205,0.04645893,-0.032047253,2.6480598,3.7294364,4.7716002,5.031892,11.502825,11.86508,0,0,0,0,0,0,0,0,0,0,0,0,0.031318735,-0.0059612556,-0.02214245,-0.006496465,0.056029417,0.03259698,2.6481524,3.7294421,-0.0075020716,-0.0076153353,0.00847435,0.009501815,1562,5,760,1,10,176.50888,-8.522538,-134.80103,1.6039771,80133.84,264.05,119.547035,119.5531,122.00726,122.00726,0,1,-10.132935,0,0,2.8906605,2.8906605,0,1,119,0,0,0,1,0,62,0
1,249000,7999.995,799.9995,2831.6428,-0.00094127655,0.06612112,8.591469,-0.0013581514,0.0013135131,1.7352839,-0.030428875,0.00040119767,0.00043056346,-0.9175762,-0.0058241077,0.014729924,0.2772589,0.27381408,0.49355665,0.4985802,0.050505668,-0.029021764,2.8325558,1.4469023,5.076149,5.4336724,10.291303,9.516152,0,0,0,0,0,0,0,0,0,0,0,0,0.027704485,-0.010063314,-0.0033844372,0.012480843,0.05760522,0.030716984,2.832558,1.446956,-0.008159488,-0.008437172,0.009029396,0.009436786,1562,5,760,1,10,176.48663,-8.522353,-134.78404,1.7352848,78504.7,263.85916,119.54589,119.55228,122.27183,122.27183,0,1,-10.10487,0,0,2.9073431,2.9073431,0,1,119,0,0,0,1,0,62,0
1,249015,7999.995,799.9995,2775.36,0.0044999123,0.0554239,8.42706,-0.0009986162,0.0016704146,1.8665699,-0.023534346,0.0018276006,-0.0023927176,-0.9175846,-0.006257794,0.014717553,0.2703663,0.2651758,0.49925932,0.5031857,0.05359532,-0.026929045,3.3150816,3.4960122,5.456307,5.8404303,13.764555,12.108589,0,0,0,0,0,0,0,0,0,0,0,0,0.022555152,-0.015588846,0.0058786306,0.021667283,0.058148026,0.031115681,3.3150868,3.4960792,-0.008715093,-0.009133495,0.009491861,0.009810276,1562,5,760,1,10,176.4626,-8.522144,-134.76569,1.8665707,75919.85,260.36252,119.5446,119.55182,122.94911,122.94911,0,1,-10.074514,0,0,2.9240484,2.9240484,0,1,118,0,0,0,1,0,62,0
1,249031,7999.995,799.9995,2722.0227,0.020704985,0.049053222,8.235441,-0.0001975894,0.0016601533,1.9938753,-0.01783199,0.0011341667,-0.0032028458,-0.91758376,-0.0065829516,0.014665538,0.2648046,0.25820372,0.5021538,0.5056253,0.050704814,-0.027321171,2.4505458,2.15129,5.859231,6.2348037,10.201113,11.563421,0,0,0,0,0,0,0,0,0,0,0,0,0.024718605,-0.013812138,0.0033038384,0.019356914,0.05640911,0.030614074,2.450548,2.151377,-0.009163417,-0.009695508,0.009726591,0.010008119,1562,5,760,1,10,176.4369,-8.521911,-134.74603,1.9938757,73465.94,256.9198,119.54333,119.55165,123.32202,123.32202,0,1,-10.042251,0,0,2.9407399,2.9407399,0,1,117,0,0,0,1,0,62,0
1,249046,7999.995,799.9995,2670.353,0.01310277,0.056984015,8.119343,-0.00029313564,0.0029890463,2.1242108,-0.013195539,0.002703187,-0.005254983,-0.91757494,-0.0068274993,0.014600575,0.26035297,0.2527375,0.5063933,0.5091566,0.053655177,-0.025731362,2.775742,2.752527,6.2415724,6.637269,13.167685,11.091242,0,0,0,0,0,0,0,0,0,0,0,0,0.019135863,-0.019686012,0.013345064,0.02913128,0.056965422,0.03239818,2.775774,2.7526813,-0.009522259,-0.010136135,0.010070398,0.01029449,1562,5,760,1,10,176.40947,-8.521638,-134.72505,2.124213,69303.12,247.06082,119.54205,119.55148,123.89203,123.89203,0,1,-10.007504,0,0,2.9574416,2.9574416,0,1,114,0,0,0,1,0,63,0
1,249062,7999.995,799.9995,2620.2368,0.02729702,0.06416876,8.001329,0.00029873848,0.003994394,2.2516232,-0.009181393,0.0013112617,-0.0042661577,-0.91756755,-0.0069990177,0.014517883,0.2570346,0.2484636,0.506821,0.51162106,0.051841646,-0.02558389,2.4050086,2.908178,6.639402,7.0375223,10.810877,13.718647,0,0,0,0,0,0,0,0,0,0,0,0,0.023249919,-0.015850997,0.0027014562,0.018809376,0.056816503,0.030096335,2.40501,2.908239,-0.00978975,-0.01048065,0.010105081,0.010494351,1562,5,760,1,10,176.38037,-8.521325,-134.70277,2.2516265,65333.68,237.37271,119.540764,119.5515,124.11935,124.11935,0,1,-9.970849,0,0,2.974133,2.974133,0,1,111,0,0,0,1,0,63,0
1,249078,7999.995,799.9995,2572.423,0.023769379,0.068694554,7.9080496,8.225441e-05,0.0048723035,2.377524,-0.0058597014,0.002239404,-0.0056445147,-0.9175574,-0.0071110325,0.014438328,0.25457257,0.2453619,0.5075326,0.51185536,0.052102476,-0.024799135,3.3922553,2.3254883,7.0276875,7.4291124,15.115213,10.888657,0,0,0,0,0,0,0,0,0,0,0,0,0.020425182,-0.018925974,0.009510077,0.02559613,0.055962987,0.031195985,3.3922687,2.3256292,-0.009988211,-0.010730676,0.010162793,0.01051335,1562,5,760,1,10,176.34956,-8.520973,-134.67918,2.3775287,62422.426,231.03333,119.53952,119.551575,124.69525,124.69525,0,1,-9.932093,0,0,2.9908366,2.9908366,0,1,109,0,0,0,1,0,63,0
1,249093,7999.995,799.9995,2522.0872,0.015525103,0.097089924,7.9185705,0.00090169907,0.009248316,2.5153196,-0.0032113357,0.0041478155,-0.009177007,-0.91752577,-0.0071737953,0.014302993,0.25256225,0.24370621,0.5181973,0.51489305,0.058320284,-0.027082084,1.3205146,2.9362516,7.4239225,7.850769,11.022053,14.2908945,0,0,0,0,0,0,0,0,0,0,0,0,0.016007321,-0.023392007,0.019895466,0.03534464,0.060477182,0.035785828,1.3206644,2.9364643,-0.010150261,-0.010864139,0.0110276565,0.010759696,1562,5,760,1,10,176.31702,-8.520555,-134.65427,2.5153368,55392.383,209.04665,119.53825,119.55168,125.149796,125.149796,0,1,-9.891047,0,0,3.0075285,3.0075285,0,1,102,0,0,0,1,0,63,0
1,249109,7999.995,799.9995,2469.3557,0.022488594,0.114759706,7.9251757,0.0007337332,0.011217587,2.644956,-8.85129e-05,0.0043829344,-0.010597767,-0.91747296,-0.00718743,0.014136606,0.2509811,0.24321172,0.519027,0.5158059,0.05200187,-0.024409257,3.6134307,1.3025801,7.880324,8.254834,13.779074,11.522526,0,0,0,0,0,0,0,0,0,0,0,0,0.015790995,-0.023727933,0.026669234,0.04169941,0.054346573,0.034041543,3.6135292,1.3032475,-0.010277718,-0.010903999,0.011094943,0.010833725,1562,5,760,1,10,176.28271,-8.520073,-134.62799,2.64498,50273.906,193.73296,119.53706,119.55188,125.28851,125.28851,0,1,-9.847518,0,0,3.0242226,3.0242226,0,1,97,0,0,0,1,0,63,0
